"Year","Month","Days Since Sept 3rd 2000","#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
2000,November,84,176,PSINet Stadium,outdoors,grass,3,3,55,97,7,0
2000,November,84,177,FedExField,outdoors,grass,5,6,50,88,5,0
2000,November,84,178,Paul Brown Stadium,outdoors,grass,2,2,46,89,12,0
2000,November,84,179,Giants Stadium,outdoors,grass,2,3,53,100,6,0
2000,November,84,181,Network Associates Coliseum,outdoors,grass,2,2,57,60,8,0
2000,November,84,183,Alltel Stadium,outdoors,grass,5,6,62,0,7,0
2000,November,84,184,Qualcomm Stadium,outdoors,grass,4,4,69,66,8,0
2000,November,84,186,Sun Devil Stadium,outdoors,grass,1,1,64,25,3,0
2000,November,85,187,Ericsson Stadium,outdoors,grass,1,1,46,69,3,0
2000,December,92,189,Three Rivers Stadium,outdoors,astroturf,2,3,33,88,5,0
2000,December,92,190,Raymond James Stadium,outdoors,grass,2,3,63,82,12,0
2000,December,92,191,FedExField,outdoors,grass,3,5,30,62,14,3
2000,December,92,192,Ralph Wilson Stadium,outdoors,astroturf,4,5,27,75,6,16
2000,December,92,193,Paul Brown Stadium,outdoors,grass,1,4,32,63,12,18
2000,December,92,195,Veterans Stadium,outdoors,astroturf,7,7,30,39,7,22
2000,December,92,196,Ericsson Stadium,outdoors,grass,4,4,34,50,16,13
2000,December,92,198,Qualcomm Stadium,outdoors,grass,4,4,66,71,9,0
2000,December,92,199,Giants Stadium,outdoors,grass,3,4,35,32,5,28
2000,December,92,200,Alltel Stadium,outdoors,grass,2,2,46,0,10,0
2000,December,92,201,Soldier Field,outdoors,grass,2,2,33,77,6,21
2000,December,93,202,Foxboro Stadium,outdoors,grass,4,5,45,42,10,0
2000,December,99,204,Soldier Field,outdoors,grass,2,3,36,85,12,17
2000,December,99,205,Lambeau Field,outdoors,grass,6,7,25,74,13,5
2000,December,99,206,Alltel Stadium,outdoors,grass,4,5,61,0,6,0
2000,December,99,207,Pro Player Stadium,outdoors,grass,5,6,73,96,5,0
