"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
3582,O.co Coliseum,outdoors,grass,2,2,62,30,6,0
3583,CenturyLink Field,outdoors,fieldturf,3,3,48,68,4,N/A
3584,FirstEnergy Stadium,outdoors,grass,2,2,46,54,9,N/A
3585,Gillette Stadium,outdoors,fieldturf,3,3,44,44,6,N/A
3586,Reliant Stadium,retractable roof (closed),grass,3,7,N/A,N/A,N/A,N/A
3587,Lambeau Field,outdoors,grass,4,4,49,77,14,N/A
3588,Mall of America Field,dome,sportturf,4,4,N/A,N/A,N/A,N/A
3589,Lambeau Field,outdoors,grass,4,7,45,48,12,N/A
3590,LP Field,outdoors,grass,4,4,62,40,6,0
3591,Heinz Field,outdoors,grass,4,4,46,56,21,N/A
3592,M&T Bank Stadium,outdoors,sportturf,3,4,60,36,17,0
3593,Georgia Dome,dome,fieldturf,5,5,N/A,N/A,N/A,N/A
3594,Soldier Field,outdoors,grass,2,3,47,51,6,N/A
3595,Lucas Oil Stadium,retractable roof (closed),fieldturf,1,1,N/A,N/A,N/A,N/A
3596,MetLife Stadium,outdoors,fieldturf,3,3,49,71,14,N/A
3597,Candlestick Park,outdoors,grass,4,5,62,65,6,0
3598,University of Phoenix Stadium,retractable roof (closed),grass,3,4,N/A,N/A,N/A,N/A
3599,Qualcomm Stadium,outdoors,grass,2,3,78,14,6,0
3600,Mercedes-Benz Superdome,dome,sportturf,1,2,N/A,N/A,N/A,N/A
3601,Raymond James Stadium,outdoors,grass,4,4,73,74,5,N/A
3602,LP Field,outdoors,grass,5,5,44,36,3,N/A
3603,Ralph Wilson Stadium,outdoors,a_turf,3,4,62,71,14,0
3604,Soldier Field,outdoors,grass,5,5,68,82,17,0
3605,Paul Brown Stadium,outdoors,fieldturf,4,4,62,92,7,0
3606,Lincoln Financial Field,outdoors,grass,1,1,64,71,7,0
3607,Heinz Field,outdoors,grass,5,5,60,87,12,N/A
3608,Reliant Stadium,retractable roof (closed),grass,3,4,N/A,N/A,N/A,N/A
3609,Raymond James Stadium,outdoors,grass,4,5,79,74,6,N/A
3610,EverBank Field,outdoors,grass,2,3,76,0,8,0
3611,Sun Life Stadium,outdoors,grass,5,5,81,67,12,0
3612,Mercedes-Benz Superdome,dome,sportturf,5,5,N/A,N/A,N/A,N/A
3613,MetLife Stadium,outdoors,fieldturf,4,4,59,100,2,0
3614,CenturyLink Field,outdoors,fieldturf,4,4,50,81,14,N/A
3615,Sports Authority Field at Mile High,outdoors,grass,3,4,43,34,6,N/A
3616,Bank of America Stadium,outdoors,grass,3,3,59,35,8,0
3617,Georgia Dome,dome,fieldturf,3,4,N/A,N/A,N/A,N/A
3618,Edward Jones Dome,dome,astroplay,2,2,N/A,N/A,N/A,N/A
3619,Lambeau Field,outdoors,grass,6,6,19,52,10,7
3620,Reliant Stadium,retractable roof (closed),grass,4,5,N/A,N/A,N/A,N/A
3621,M&T Bank Stadium,outdoors,sportturf,5,5,33,23,26,20
3622,FirstEnergy Stadium,outdoors,grass,3,4,20,84,31,1
3623,Ford Field,dome,fieldturf,1,3,N/A,N/A,N/A,N/A
3624,Arrowhead Stadium,outdoors,grass,3,3,24,50,3,15
3625,Sun Life Stadium,outdoors,grass,5,7,82,55,13,0
3626,University of Phoenix Stadium,retractable roof (closed),grass,5,6,N/A,N/A,N/A,N/A
3627,O.co Coliseum,outdoors,grass,7,9,58,56,5,0
3628,MetLife Stadium,outdoors,fieldturf,3,3,25,40,6,18
3629,Gillette Stadium,outdoors,fieldturf,3,3,22,29,22,6
3630,FedExField,outdoors,grass,4,4,35,37,12,27
3631,Ford Field,dome,fieldturf,2,3,N/A,N/A,N/A,N/A
3632,AT&T Stadium,retractable roof (closed),matrixturf,2,2,N/A,N/A,N/A,N/A
3633,M&T Bank Stadium,outdoors,sportturf,5,5,37,39,2,0
3634,FirstEnergy Stadium,outdoors,grass,3,4,40,61,7,N/A
3635,Lucas Oil Stadium,retractable roof (closed),fieldturf,5,5,N/A,N/A,N/A,N/A
3636,Reliant Stadium,retractable roof (closed),grass,3,4,N/A,N/A,N/A,N/A
3637,MetLife Stadium,outdoors,fieldturf,4,5,48,59,4,N/A
3638,Lincoln Financial Field,outdoors,grass,1,1,46,53,4,N/A
3639,Bank of America Stadium,outdoors,grass,4,5,56,55,2,0
3640,Mall of America Field,dome,sportturf,5,8,N/A,N/A,N/A,N/A
3641,Rogers Centre,dome,a_turf,3,3,N/A,N/A,N/A,N/A
3642,Candlestick Park,outdoors,grass,5,5,59,72,6,0
3643,Qualcomm Stadium,outdoors,grass,2,2,77,26,5,0
3644,Arrowhead Stadium,outdoors,grass,0,0,55,47,4,0
3645,FedExField,outdoors,grass,2,2,43,72,0,0
3646,CenturyLink Field,outdoors,fieldturf,2,2,41,62,6,N/A
3647,EverBank Field,outdoors,grass,4,4,72,73,7,0
